AL1603-395 0001,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0002,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0003,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0004,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0005,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0006,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0007,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0008,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0009,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0010,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0011,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0012,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0013,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0014,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0015,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0016,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0017,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0018,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0019,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0020,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0021,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0022,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0023,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0024,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0025,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0026,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0027,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0028,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0029,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0030,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0031,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0032,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0033,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0034,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0035,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0036,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0037,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
AL1603-395 0038,FL0280306410,0114448619,BA9598,04.5  05  05.5  06  06.5  07  07.5  08  08.5,1  1  2  2  2  1  1  1  1
