2018-08-27 08:42:27.124: 192.168.20.10:Æ3
2018-08-27 08:42:27.125: 10.6.31.135:Æ
2018-08-27 08:42:27.126: 10.6.31.103:Æ
2018-08-27 08:42:27.126: 10.6.31.127:Æ
2018-08-27 08:42:27.127: 192.168.20.10:Æ1
2018-08-27 08:42:27.127: 10.6.31.138:Æ
2018-08-27 08:42:27.128: 192.168.20.10:Æ*
2018-08-27 08:42:27.128: 10.6.31.107:Æ
2018-08-27 08:42:27.129: 192.168.20.10:Æ/
2018-08-27 08:42:27.129: 10.6.31.125:Æ
2018-08-27 08:42:27.130: 192.168.20.10:Æ5
2018-08-27 08:42:27.130: 10.6.31.134:Æ
2018-08-27 08:42:27.131: 192.168.20.10:Æ2
2018-08-27 08:42:27.131: 10.6.31.137:Æ
2018-08-27 08:42:27.131: 192.168.20.10:Æ-
2018-08-27 08:42:27.132: 10.6.31.104:Æ
2018-08-27 08:42:27.132: 10.6.31.108:Æ
2018-08-27 08:42:27.133: 10.6.31.124:Æ
2018-08-27 08:42:27.133: 10.6.31.128:Æ
2018-08-27 08:42:27.134: 10.6.31.133:Æ
2018-08-27 08:42:27.134: 10.6.31.123:Æ
2018-08-27 08:42:27.135: 10.6.31.105:Æ
2018-08-27 08:42:27.135: 10.6.31.122:Æ
2018-08-27 08:42:27.135: 10.6.31.126:Æ
2018-08-27 08:42:27.136: 10.6.31.116:Æ
2018-08-27 08:42:27.136: 10.6.31.136:Æ
2018-08-27 08:42:27.137: 10.6.31.118:Æ
2018-08-27 08:42:27.137: 10.6.31.106:Æ
2018-08-27 08:42:27.138: 10.6.31.117:Æ
2018-08-27 08:42:27.138: 10.6.31.132:Æ
2018-08-27 08:42:27.139: 10.6.31.102:Æ
2018-08-27 08:42:27.139: 10.6.31.114:Æ
2018-08-27 08:42:27.140: 10.6.31.115:Æ
2018-08-27 08:42:27.140: 10.6.31.113:Æ
2018-08-27 08:42:27.141: 10.6.31.112:Æ
2018-08-27 08:43:06.594: HﬂW: FBigBufData¿®
3
2018-08-27 08:43:09.774: 10.6.31.106:Æ
2018-08-27 08:43:09.775: 10.6.31.138:Æ
2018-08-27 08:43:09.775: 10.6.31.107:Æ
2018-08-27 08:43:09.776: 10.6.31.135:Æ
2018-08-27 08:43:09.776: 10.6.31.124:Æ
2018-08-27 08:43:09.777: 10.6.31.102:Æ
2018-08-27 08:43:09.777: 10.6.31.137:Æ
2018-08-27 08:43:09.778: 10.6.31.127:Æ
2018-08-27 08:43:09.778: 10.6.31.136:Æ
2018-08-27 08:43:09.779: 10.6.31.125:Æ
2018-08-27 08:43:09.779: 10.6.31.105:Æ
2018-08-27 08:43:09.779: 10.6.31.132:Æ
2018-08-27 08:43:09.780: 10.6.31.126:Æ
2018-08-27 08:43:09.780: 10.6.31.142:Æ3
2018-08-27 08:43:09.781: 10.6.31.103:Æ
2018-08-27 08:43:09.781: 192.168.20.10:Æ/
2018-08-27 08:43:09.782: 10.6.31.134:Æ
2018-08-27 08:43:09.782: 192.168.20.10:Æ2
2018-08-27 08:43:09.783: 10.6.31.104:Æ
2018-08-27 08:43:09.783: 192.168.20.10:Æ-
2018-08-27 08:43:09.784: 10.6.31.133:Æ
2018-08-27 08:43:09.784: 192.168.20.10:Æ1
2018-08-27 08:43:09.784: 10.6.31.115:Æ
2018-08-27 08:43:09.785: 192.168.20.10:Æ*
2018-08-27 08:43:09.786: 10.6.31.113:Æ
2018-08-27 08:43:09.792: 192.168.20.10:Æ5
2018-08-27 08:43:09.792: 10.6.31.112:Æ
2018-08-27 08:43:09.793: 10.6.31.128:Æ
2018-08-27 08:43:09.793: 10.6.31.114:Æ
2018-08-27 08:43:09.794: 10.6.31.122:Æ
2018-08-27 08:43:09.794: 10.6.31.108:Æ
2018-08-27 08:43:09.795: 10.6.31.123:Æ
2018-08-27 08:43:09.795: 10.6.31.118:Æ
2018-08-27 08:43:09.796: 10.6.31.117:Æ
2018-08-27 08:43:09.796: 10.6.31.116:Æ
2018-08-27 08:43:44.641: 10.6.31.135:Æ
2018-08-27 08:43:44.641: 10.6.31.142:Æ
2018-08-27 08:43:44.642: 192.168.20.10:Æ*
2018-08-27 08:43:44.642: 192.168.20.10:Æ/
2018-08-27 08:43:44.643: 192.168.20.10:Æ5
2018-08-27 08:43:44.643: 192.168.20.10:Æ2
2018-08-27 08:43:44.644: 10.6.31.136:Æ
2018-08-27 08:43:44.644: 192.168.20.10:Æ-
2018-08-27 08:43:44.645: 10.6.31.132:Æ
2018-08-27 08:43:44.645: 192.168.20.10:Æ1
2018-08-27 08:43:44.646: 10.6.31.138:Æ
2018-08-27 08:43:44.646: 10.6.31.128:Æ
2018-08-27 08:43:44.646: 10.6.31.134:Æ
2018-08-27 08:43:44.647: 10.6.31.122:Æ
2018-08-27 08:43:44.647: 10.6.31.106:Æ
2018-08-27 08:43:44.648: 10.6.31.108:Æ
2018-08-27 08:43:44.648: 10.6.31.133:Æ
2018-08-27 08:43:44.649: 10.6.31.123:Æ
2018-08-27 08:43:44.649: 10.6.31.126:Æ
2018-08-27 08:43:44.649: 10.6.31.116:Æ
2018-08-27 08:43:44.650: 10.6.31.105:Æ
2018-08-27 08:43:44.651: 10.6.31.117:Æ
2018-08-27 08:43:44.651: 10.6.31.137:Æ
2018-08-27 08:43:44.652: 10.6.31.118:Æ
2018-08-27 08:43:44.652: 10.6.31.107:Æ
2018-08-27 08:43:44.653: 10.6.31.124:Æ
2018-08-27 08:43:44.653: 10.6.31.102:Æ
2018-08-27 08:43:44.654: 10.6.31.127:Æ
2018-08-27 08:43:44.654: 10.6.31.125:Æ
2018-08-27 08:43:44.654: 10.6.31.103:Æ
2018-08-27 08:43:44.655: 10.6.31.104:Æ
2018-08-27 08:43:44.655: 10.6.31.115:Æ
2018-08-27 08:43:44.656: 10.6.31.113:Æ
2018-08-27 08:43:44.656: 10.6.31.112:Æ
2018-08-27 08:43:44.657: 10.6.31.114:Æ
2018-08-27 08:46:36.225: HﬂW: FBigBufData¿®
*
2018-08-27 08:46:38.258: 10.6.31.125:Æ
2018-08-27 08:46:38.259: 10.6.31.106:Æ
2018-08-27 08:46:38.259: 10.6.31.138:Æ
2018-08-27 08:46:38.260: 10.6.31.107:Æ
2018-08-27 08:46:38.261: 10.6.31.135:Æ
2018-08-27 08:46:38.261: 10.6.31.124:Æ
2018-08-27 08:46:38.261: 10.6.31.102:Æ
2018-08-27 08:46:38.262: 10.6.31.137:Æ
2018-08-27 08:46:38.262: 10.6.31.127:Æ
2018-08-27 08:46:38.263: 10.6.31.143:Æ*
2018-08-27 08:46:38.263: 10.6.31.136:Æ
2018-08-27 08:46:38.264: 192.168.20.10:Æ/
2018-08-27 08:46:38.264: 10.6.31.105:Æ
2018-08-27 08:46:38.265: 192.168.20.10:Æ2
2018-08-27 08:46:38.265: 10.6.31.132:Æ
2018-08-27 08:46:38.265: 192.168.20.10:Æ-
2018-08-27 08:46:38.266: 10.6.31.126:Æ
2018-08-27 08:46:38.266: 192.168.20.10:Æ1
2018-08-27 08:46:38.267: 10.6.31.103:Æ
2018-08-27 08:46:38.267: 10.6.31.142:Æ
2018-08-27 08:46:38.268: 10.6.31.134:Æ
2018-08-27 08:46:38.268: 192.168.20.10:Æ5
2018-08-27 08:46:38.268: 10.6.31.104:Æ
2018-08-27 08:46:38.269: 10.6.31.122:Æ
2018-08-27 08:46:38.269: 10.6.31.133:Æ
2018-08-27 08:46:38.270: 10.6.31.108:Æ
2018-08-27 08:46:38.270: 10.6.31.113:Æ
2018-08-27 08:46:38.271: 10.6.31.128:Æ
2018-08-27 08:46:38.271: 10.6.31.112:Æ
2018-08-27 08:46:38.272: 10.6.31.123:Æ
