2018-07-28 10:55:05.977: IP:192.168.1.53机型EastRiver, ER1000CT
2018-07-28 10:55:05.977: IP:192.168.1.52机型EastRiver, ER1000CT
2018-07-28 11:40:32.162: IP:192.168.1.53机型EastRiver, ER1000CT
2018-07-28 11:40:32.163: IP:192.168.1.52机型EastRiver, ER1000CT
2018-07-28 13:10:53.716: IP:192.168.1.52机型EastRiver, ER1000CT
2018-07-28 13:10:53.716: IP:192.168.1.53机型EastRiver, ER1000CT
2018-07-28 13:10:57.722: IP:192.168.1.53机型EastRiver, ER1000CT
2018-07-28 13:10:57.723: IP:192.168.1.52机型EastRiver, ER1000CT
2018-07-28 13:12:08.120: IP:192.168.1.53机型EastRiver, ER1000CT
2018-07-28 13:12:08.121: IP:192.168.1.52机型EastRiver, ER1000CT
2018-07-28 13:31:36.072: IP:192.168.1.52机型EastRiver, ER1000CT
2018-07-28 13:31:36.072: IP:192.168.1.53机型EastRiver, ER1000CT
2018-07-28 14:02:54.748: IP:192.168.1.53机型EastRiver, ER1000CT
2018-07-28 14:02:54.748: IP:192.168.1.52机型EastRiver, ER1000CT
2018-07-28 15:17:20.552: IP:192.168.1.53机型EastRiver, ER1000CT
2018-07-28 15:17:20.553: IP:192.168.1.52机型EastRiver, ER1000CT
2018-07-28 15:18:16.768: IP:192.168.1.52机型EastRiver, ER1000CT
2018-07-28 15:18:16.768: IP:192.168.1.53机型EastRiver, ER1000CT
