2016-05-30 08:47:18.281: IP:192.168.1.101机型EastRiver, ER2000CRT
2016-05-30 08:52:16.343: IP:192.168.1.101机型EastRiver, ER2000CRT
2016-05-30 08:55:25.734: IP:192.168.1.101机型EastRiver, ER2000CRT
2016-05-30 10:15:27.000: IP:192.168.1.101机型EastRiver, ER2000CRT
2016-05-30 10:26:45.421: IP:192.168.1.101机型EastRiver, ER2000CRT
2016-05-30 10:29:50.703: IP:192.168.1.101机型EastRiver, ER2000CRT
2016-05-30 10:32:14.140: IP:192.168.1.101机型EastRiver, ER2000CRT
2016-05-30 10:33:51.375: IP:192.168.1.101机型EastRiver, ER2000CRT
2016-05-30 10:38:25.609: IP:192.168.1.101机型EastRiver, ER2000CRT
2016-05-30 10:40:54.671: IP:192.168.1.101机型EastRiver, ER2000CRT
