2019-11-12 09:34:01.982: IP:10.1.1.1机型EastRiver, ER1000CT
2019-11-12 10:21:55.108: IP:10.1.1.1机型EastRiver, ER1000CT
2019-11-12 10:22:07.596: IP:10.1.1.1机型EastRiver, ER1000CT
2019-11-12 10:24:38.723: IP:192.168.123.103机型EastRiver, ER1000CT
2019-11-12 10:32:17.730: IP:192.168.123.103机型EastRiver, ER1000CT
2019-11-12 15:01:57.995: IP:192.168.123.103机型EastRiver, ER1000CT
2019-11-12 15:02:42.109: IP:192.168.123.103机型EastRiver, ER1000CT
2019-11-12 15:04:11.693: IP:192.168.228.11机型EastRiver, ER1000CT
2019-11-12 15:37:28.385: IP:192.168.228.11机型EastRiver, ER1000CT
